"","Accipiter_gentilis","Accipiter_nisus","Acrocephalus_sp.","Aegolius_funereus","Alauda_arvensis","Anas_sp.","Anguis_fragilis","Anthus_sp.","Apodemus_flavicollis","Apodemus_sylvaticus","Aquila_pomarina","Arvicola_terrestris","Asio_otus","Blicca_bjoerkna","Bonasa_bonasia","Bufo_sp.","Buteo_buteo","Canis_lupus","Carassius_carassius","Carduelis_cannabina","Carduelis_carduelis","Carduelis_chloris","Castor_fiber","Certhia_familiaris","Clethrionomys_glareolus","Coccothraustes_coccothraustes","Columba_palumbus","Corvus_corone","Cuculus_canorus","Dendrocopos_major","Dryomys_nitedula","Emberiza_citrinella","Emberiza_schoeniclus","Erinaceus_concolor","Erithacus_rubecula","Esox_lucius","Falco_subbuteo","Ficedula_albicollis","Ficedula_hypoleuca","Fringilla_coelebs","Garrulus_glandarius","Gasterosteus_aculeatus","Glaucidium_passerinum","Glis_glis","Gobio_gobio","Gymnocephalus_cernuus","Hippolais_icterina","Hirundo_rustica","Hymenoptera","Jynx_torquilla","Lacerta_sp.","Lanius_collurio","Larus_ridibundus","Lepus_europaeus","Lota_lota","Lumbricidae_sp.","Lutra_lutra","Lynx_lynx","Martes_martes","Meles_meles","Micromys_minutus","Microtus_agrestis","Microtus_arvalis","Microtus_oeconomus","Motacilla_alba","Motacilla_flava","Mus_musculus","Mustela_putorius","Mustela_vison","Natrix_natrix","Neomys_anomalus","Neomys_fodiens","Nyctereutes_procyonoides","Oriolus_oriolus","Parus_caeruleus","Parus_major","Perca_fluviatilis","Perdix_perdix","Pernis_apivorus","Phoenicurus_phoenicurus","Phylloscopus_collybita","Phylloscopus_sibilatrix","Pitymys_subterraneus","Prunella_modularis","Pyrrhula_pyrrhula","Rana_arvalis","Rana_temporaria","Rattus_norvegicus","Riparia_riparia","Rutilus_rutilus","Saxicola_rubetra","Sciurus_vulgaris","Serinus_serinus","Sicista_betulina","Sitta_europaea","Sorex_araneus","Sorex_caecutiens","Sorex_minutus","Strix_aluco","Sturnus_vulgaris","Sylvia_atricapilla","Sylvia_communis","Sylvia_sp.","Talpa_europaea","Tringa_ochropus","Troglodytes_troglodytes","Turdus_iliacus","Turdus_merula","Turdus_philomelos","Undet._amphibians","Undet._bats","Undet._birds","Upupa_epops","Vanellus_vanellus","Vulpes_vulpes"
"Accipiter_gentilis",8.70954692556634,NA,NA,NA,NA,NA,NA,-0.000529923199761699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00415682914170967,NA,NA,NA,NA,NA,-1.23208156594703e-05,NA,NA,NA,-0.000221160573115037,-0.000191593798756707,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00721144573525235,NA,NA,-0.0556195448538617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007668207973956,NA,NA,NA,NA,NA,NA,NA,-1.20104719998239e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00206825472309227,NA,NA,NA,NA,NA,NA,-0.0600150104046229,-0.00784207203895992,-0.00314098292702375,NA,NA,NA,NA,-0.019744938423121,NA
"Accipiter_nisus",NA,30.7859078590786,NA,NA,-0.087266858531703,NA,NA,-0.0102256303069385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0240534036124085,NA,-0.012184412340968,NA,NA,NA,-0.0213377768019259,-0.00843396298859755,NA,NA,NA,NA,NA,NA,-0.0175352500561741,-0.0534522085543193,NA,NA,NA,-0.0474434293498353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.76392288229254,NA,NA,NA,NA,NA,NA,NA,-0.00504439961856962,NA,NA,NA,NA,NA,NA,-0.00395193084519095,-0.0014484757326044,NA,NA,NA,NA,NA,NA,-0.732703679270291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0083145743868772,NA,-0.0826838407946329,NA,NA,-0.0172933486158434,NA,NA,-0.0215374670447439,-0.0126684429052914,NA,NA,NA,NA,NA,NA
"Acrocephalus_sp.",NA,NA,3.76421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0430536187700718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegolius_funereus",NA,NA,NA,329.917355371901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00344358837075069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000419606165380273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0012592780866834,NA,NA,NA,NA,NA,NA
"Alauda_arvensis",NA,0.87266858531703,NA,NA,1.79574,NA,NA,NA,NA,NA,0.180872941212172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.73011833070826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas_sp.",NA,NA,NA,NA,NA,0.01022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0138738648413396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anguis_fragilis",NA,NA,NA,NA,NA,NA,0.0154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13101056140829e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthus_sp.",0.00529923199761699,0.102256303069385,NA,NA,NA,NA,NA,1.45787,NA,NA,NA,NA,NA,NA,NA,NA,0.00419138784569109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125693213249415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00478373541889686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apodemus_flavicollis",NA,NA,NA,NA,NA,NA,NA,NA,0.00227,NA,0.000110001178795982,NA,0.0137580897967439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apodemus_sylvaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.70827,0.0750206966490299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquila_pomarina",NA,NA,NA,NA,-0.0180872941212172,NA,NA,NA,-1.10001178795982e-05,-0.00750206966490299,7.02020202020202,-0.0290849390856058,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00314767956642243,NA,-4.42785504067624e-05,-0.000116453676056328,NA,NA,-0.00692712251917969,NA,-0.000273287640914481,NA,-0.000779095561693314,-0.00498541571732362,-8.74876616053325e-06,NA,NA,NA,NA,NA,NA,-0.000162554954134723,NA,NA,-0.00187551590746252,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00644753732722044,NA,NA,NA,NA,NA,NA,-5.9539469079813e-05,-0.00308455064373391,-0.025506121185787,-0.00943579887218045,NA,NA,-0.00375102678571428,NA,NA,-0.000148128019402529,-4.76315752638504e-05,-1.14826118939639e-05,NA,NA,NA,NA,NA,-0.0731195612344762,NA,NA,NA,NA,-0.00119592986697841,NA,NA,-0.000519623687110459,-2.98799630097587e-05,-0.00077440656824259,NA,NA,-0.00794776418703765,-7.20919510780622e-05,NA,NA,NA,-0.000243122585453935,-0.000743058704963467,-0.000238160430839003,NA,-0.000689326088675353,NA,NA,NA,-0.000523452525493628,NA,NA,NA,-0.00135859199559282,-0.00077226887550104,NA,NA,-0.00454397227070262,NA,NA,NA
"Arvicola_terrestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.290849390856058,0.64635,0.304973474801061,NA,NA,NA,0.0146080467372134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0331618384789813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0222778714223629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0361907812406174
"Asio_otus",NA,NA,NA,NA,NA,NA,NA,NA,-0.00137580897967439,NA,NA,-0.0304973474801061,144.827586206897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00058303752535497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00784679246279945,-0.384713060892421,-0.0750127739773838,NA,NA,-0.356818965517241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blicca_bjoerkna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183366374811191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bonasa_bonasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02884,NA,0.00140581107470779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000435354243329282
"Bufo_sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537,0.00199969469314707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0041073237498968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buteo_buteo",NA,NA,NA,NA,NA,NA,NA,-0.000419138784569109,NA,NA,NA,-0.00146080467372134,NA,NA,-0.000140581107470779,-0.000199969469314707,1.77271288382399,NA,NA,NA,NA,NA,NA,NA,-0.000833934578954182,-0.000368444649031948,-0.0005640499565142,NA,NA,-0.00735025708650938,NA,NA,NA,-3.87559902309795e-05,-0.000194898947690037,NA,NA,NA,NA,-0.000151539893708406,-0.00282895820401479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000221333747246057,NA,-0.00012111229026443,NA,NA,NA,-0.00113860696784681,NA,-0.0154243508433865,NA,NA,NA,-9.49945931450422e-05,-0.000605465771908817,-3.34082549978121e-05,NA,-0.00017127009894867,-2.22461593579571e-06,NA,NA,NA,NA,-4.27712677404035e-05,NA,NA,NA,-0.000105973453553232,NA,NA,NA,NA,NA,NA,NA,-0.00231312080686726,NA,-0.00101357159352576,NA,-0.00411462065570519,-0.00435777772862116,-6.2468550330301e-05,NA,-0.0028311812263496,-0.0578413156626993,NA,NA
"Canis_lupus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79347826086956,NA,NA,NA,NA,-4.86099960466029e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0026228763602387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.71165954704743e-05,NA,NA,NA
"Carassius_carassius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270261263084278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduelis_cannabina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4555755367335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduelis_carduelis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.50318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93727201433903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduelis_chloris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0314767956642243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61193211530883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castor_fiber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000486099960466029,NA,NA,NA,NA,0.00037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
