"","Abramis_brama","Accipiter_gentilis","Accipiter_nisus","Aegithalos_caudatus","Aegolius_funereus","Anas_sp.","Apodemus_agrarius","Apodemus_flavicollis","Apodemus_sylvaticus","Arvicola_terrestris","Asio_otus","Astacus_sp.","Bison_bonasus","Bonasa_bonasia","Bufo_sp.","Buteo_buteo","Canis_lupus","Capreolus_capreolus","Carcass","Carduelis_carduelis","Carduelis_chloris","Carduelis_spinus","Certhia_familiaris","Cervus_elaphus","Clethrionomys_glareolus","Coccothraustes_coccothraustes","Columba_livia","Columba_palumbus","Corvus_corone","Corvus_frugilegus","Cygnus_sp.","Dendrocopos_leucotos","Dendrocopos_major","Dendrocopos_medius","Dendrocopos_minor","Dryocopus_martius","Dryomys_nitedula","Emberiza_citrinella","Erinaceus_concolor","Garrulus_glandarius","Gasterosteus_aculeatus","Glaucidium_passerinum","Glis_glis","Lacerta_sp.","Lepus_europaeus","Leuciscus_idus","Lutra_lutra","Lynx_lynx","Martes_martes","Micromys_minutus","Microtus_agrestis","Microtus_arvalis","Microtus_oeconomus","Misgurnus_fossilis","Mus_musculus","Mustela_erminea","Mustela_nivalis","Mustela_putorius","Mustela_vison","Natrix_natrix","Neomys_fodiens","Nucifraga_caryocatactes","Nyctereutes_procyonoides","Parus_caeruleus","Parus_major","Pelobates_fuscus","Picoides_tridactylus","Picus_viridis","Pitymys_subterraneus","Prunella_modularis","Pyrrhula_pyrrhula","Rana_arvalis","Rana_esculenta","Rana_temporaria","Rattus_norvegicus","Regulus_regulus","Scardinius_erythrophthalmus","Sciurus_vulgaris","Scolopax_rusticola","Sicista_betulina","Sitta_europaea","Sorex_araneus","Sorex_minutus","Strix_aluco","Sus_scrofa","Sylvia_atricapilla","Talpa_europaea","Tinca_tinca","Troglodytes_troglodytes","Undet._amphibians","Undet._bats","Undet._birds","Vulpes_vulpes"
"Columba_livia",NA,NA,1.34536390079189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Columba_palumbus",NA,0.0347653574667206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corvus_corone",NA,0.415682914170966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corvus_frugilegus",NA,0.349467936692406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cygnus_sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendrocopos_leucotos",NA,1.1000752398398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendrocopos_major",NA,0.128462371992363,0.314253529737706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17384,NA,NA,NA,NA,NA,NA,NA,NA,0.0690644702962468,NA,NA,NA,NA,NA,NA,0.0229021989191919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Dendrocopos_medius",NA,0.379710386061001,0.755966622320742,NA,0.110550085879033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendrocopos_minor",NA,NA,7.15755670065014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dryocopus_martius",NA,0.0405321316603657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dryomys_nitedula",NA,0.0353085957684045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emberiza_citrinella",NA,NA,0.300715946605695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Erinaceus_concolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrulus_glandarius",NA,0.429202477615041,0.15293617963832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0425607483267469,NA,NA,NA,NA,NA,NA,NA,NA,0
"Gasterosteus_aculeatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91816,NA,NA,NA,NA,NA,1.69682686308276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glaucidium_passerinum",NA,NA,NA,NA,NA,NA,NA,-0.00153557149615617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0893160641627206,-0.204550437443811,-0.0454556138089572,-0.0223801970762162,NA,-0.0150468355905396,-0.00896816534479299,NA,NA,NA,NA,NA,NA,-0.00690644702962468,NA,NA,NA,NA,NA,NA,NA,NA,356.623931623932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00701779633996231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105524158717043,-0.0591095995228828,NA,NA,NA,-0.00759897416335727,NA,-0.0457988716965414,NA,NA,NA,NA,-0.00841987232154173,NA,NA,NA,-0.015999160320165,-0.0255573863678156,-0.00021495399441828,NA,NA,NA,-0.00542869627262623,NA,NA,-0.0370064870600949,NA,NA,-0.0267270101036857,NA
"Glis_glis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.659,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Lacerta_sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01668,NA,NA,0,NA,6.51774452524116e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepus_europaeus",NA,0.0315255319360754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0444,NA,NA,0.0216602276255116,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leuciscus_idus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00271,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lutra_lutra",0,NA,NA,NA,NA,-0.00605066066859857,NA,0,NA,NA,NA,-0.00543171631677088,NA,NA,-0.000851199033739211,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.169682686308276,NA,NA,0,NA,0,9.88709677419355,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.00054818949975781,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-0.000618232300281955,NA,NA,NA
"Lynx_lynx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,-0.00196820589457143,NA,NA,NA,NA,NA,-0.000268856433990655,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00216602276255116,NA,NA,2.16097308488613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA
"Martes_martes",NA,NA,NA,NA,NA,NA,0,-0.00338884877342107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00462274191505305,NA,NA,NA,NA,NA,NA,NA,-0.00229021989191919,NA,NA,NA,NA,NA,0,NA,NA,NA,0,-6.51774452524116e-06,0,NA,NA,NA,2.68443997317237,0,-0.00683505187492862,-0.0304267589900449,-0.0260834221657624,NA,NA,NA,NA,NA,NA,NA,-0.000384914091061594,NA,NA,NA,NA,NA,NA,NA,-0.00343618438793765,NA,NA,NA,NA,-6.31265595130846e-06,0,NA,NA,-2.15767510707986e-05,NA,NA,NA,-0.000605883183961417,-0.00213841138241011,NA,NA,NA,-0.000162069073193187,NA,NA,-0.000122902364169352,NA,-0.00574556934892028,NA
"Micromys_minutus",NA,0.00119098128059207,NA,NA,0.0416089466089466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00941984479834455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.78712,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0215021193426349,NA,NA,NA,NA,NA,NA,NA,NA,0.000583435560016359
"Microtus_agrestis",NA,NA,NA,NA,0.189786526440424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0157617102719414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0683505187492862,NA,0.13348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0197188772764695,NA,NA,NA,NA,NA,NA,NA,NA,0.0296622071515517
"Microtus_arvalis",NA,NA,NA,NA,0.623228015179013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109140433032347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304267589900449,NA,NA,0.66227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127842162694738,NA,NA,NA,NA,NA,NA,NA,NA,0.487415157231335
"Microtus_oeconomus",NA,0.00243014626746104,0.0117233028484673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0429270951595514,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0701779633996231,NA,NA,NA,NA,NA,NA,0.260834221657624,NA,NA,NA,0.27303,NA,NA,0.393205421580707,0.465131098694538,NA,0.174228502637713,NA,NA,NA,0.00195419875062491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157949350908669,NA,NA,NA,NA,NA,NA,NA,NA,0.187699991446934
"Misgurnus_fossilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.24535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mus_musculus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.86642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00677336157677359,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustela_erminea",NA,NA,NA,NA,NA,NA,NA,-0.00799062858600025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00512454710144927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0393205421580707,NA,NA,33.4347826086957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00176778604118993,NA,NA,NA
"Mustela_nivalis",NA,NA,NA,NA,NA,NA,NA,-0.0275526406573137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00871009708570927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0465131098694538,NA,NA,NA,11.6071428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0344524944689183,-0.00299427302667099,NA,NA,NA,NA,-0.00114199251317068,NA,NA,-0.000538054007787326,NA,-0.000165652441563184,NA
"Mustela_putorius",NA,NA,NA,NA,NA,NA,NA,-0.000604919625702438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5.08266414737837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.027516907255762,NA,-0.00104979969272775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Mustela_vison",NA,NA,NA,NA,NA,NA,NA,0,NA,-0.0406533183483184,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0174228502637713,NA,NA,NA,NA,NA,23.3241505968779,NA,-0.00529648716575375,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-0.000709751791580994,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,-0.000513813990637015,NA
