"","Abramis_brama","Accipiter_gentilis","Accipiter_nisus","Aegithalos_caudatus","Aegolius_funereus","Anas_sp.","Apodemus_agrarius","Apodemus_flavicollis","Apodemus_sylvaticus","Arvicola_terrestris","Asio_otus","Astacus_sp.","Bison_bonasus","Bonasa_bonasia","Bufo_sp.","Buteo_buteo","Canis_lupus","Capreolus_capreolus","Carcass","Carduelis_carduelis","Carduelis_chloris","Carduelis_spinus","Certhia_familiaris","Cervus_elaphus","Clethrionomys_glareolus","Coccothraustes_coccothraustes","Columba_livia","Columba_palumbus","Corvus_corone","Corvus_frugilegus","Cygnus_sp.","Dendrocopos_leucotos","Dendrocopos_major","Dendrocopos_medius","Dendrocopos_minor","Dryocopus_martius","Dryomys_nitedula","Emberiza_citrinella","Erinaceus_concolor","Garrulus_glandarius","Gasterosteus_aculeatus","Glaucidium_passerinum","Glis_glis","Lacerta_sp.","Lepus_europaeus","Leuciscus_idus","Lutra_lutra","Lynx_lynx","Martes_martes","Micromys_minutus","Microtus_agrestis","Microtus_arvalis","Microtus_oeconomus","Misgurnus_fossilis","Mus_musculus","Mustela_erminea","Mustela_nivalis","Mustela_putorius","Mustela_vison","Natrix_natrix","Neomys_fodiens","Nucifraga_caryocatactes","Nyctereutes_procyonoides","Parus_caeruleus","Parus_major","Pelobates_fuscus","Picoides_tridactylus","Picus_viridis","Pitymys_subterraneus","Prunella_modularis","Pyrrhula_pyrrhula","Rana_arvalis","Rana_esculenta","Rana_temporaria","Rattus_norvegicus","Regulus_regulus","Scardinius_erythrophthalmus","Sciurus_vulgaris","Scolopax_rusticola","Sicista_betulina","Sitta_europaea","Sorex_araneus","Sorex_minutus","Strix_aluco","Sus_scrofa","Sylvia_atricapilla","Talpa_europaea","Tinca_tinca","Troglodytes_troglodytes","Undet._amphibians","Undet._bats","Undet._birds","Vulpes_vulpes"
"Natrix_natrix",NA,0.00016460883808114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.36928836584169e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomys_fodiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.00384914091061594,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0529648716575375,NA,0.12323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00145139503505484,NA,NA,NA,NA,NA,NA,NA,NA,0.000250042902846152
"Nucifraga_caryocatactes",NA,0.0535254354843639,0.100416037977096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nyctereutes_procyonoides",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.000110125189416957,NA,NA,NA,-0.690242665910008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,-0.000195419875062491,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44216473386857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000115915037954571,NA,NA,NA,NA,NA,NA,NA,-0.00041899929348505,NA,NA,NA,NA,-7.25845250232116e-06,NA,NA,NA,NA,NA,NA
"Parus_caeruleus",NA,NA,0.747213187194682,NA,0.320114978865703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05524158717043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parus_major",NA,0.00359888787239737,0.551225623906614,NA,0.220036260170429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.591095995228827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00649756679955989,NA,NA,NA,NA,NA,NA,NA,NA,0
"Pelobates_fuscus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0258026487806007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Picoides_tridactylus",NA,NA,1.33219250595896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Picus_viridis",NA,0.116146696606594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pitymys_subterraneus",NA,NA,NA,NA,0.0217297798646436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0759897416335727,NA,NA,NA,NA,NA,0,0.0343618438793765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0164119652894065,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prunella_modularis",NA,NA,0.0611294029288905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pyrrhula_pyrrhula",NA,NA,0.153014997018148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457988716965414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rana_arvalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27516907255762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0371400707056683,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rana_esculenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rana_temporaria",NA,1.75788123956796e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0054818949975781,NA,6.31265595130846e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.0104979969272775,0.00709751791580994,NA,NA,NA,0.00115915037954571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00052,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013885148323665,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rattus_norvegicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21812,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"Regulus_regulus",NA,NA,0.00281311851690657,NA,0.142611569734086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0841987232154173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9754,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scardinius_erythrophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sciurus_vulgaris",NA,0.0201884596281441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000215767510707986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000176606665213223
"Scolopax_rusticola",NA,NA,0.0182300163911573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sicista_betulina",NA,NA,0.00076362517580872,NA,0.0221212121212121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15999160320165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sitta_europaea",NA,0.000708018357993062,0.30739607123333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255573863678156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344524944689183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sorex_araneus",NA,NA,NA,NA,0.00104022366522367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021495399441828,NA,NA,NA,NA,NA,0,0.00605883183961417,NA,NA,NA,NA,NA,NA,NA,0.0299427302667099,NA,NA,NA,NA,NA,0.0041899929348505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02756,NA,0.0143795582557712,NA,NA,NA,NA,NA,NA,NA,NA,0.000340335819978038
"Sorex_minutus",NA,NA,NA,NA,0.03120670995671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016955784500014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0213841138241011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42261,0.0209645861533389,NA,NA,NA,NA,NA,NA,NA,NA,0.00408402983973646
"Strix_aluco",NA,NA,NA,NA,NA,NA,0,-0.00296616092743479,-0.0108370681486881,-0.00333448932869851,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0223360879333455,NA,NA,NA,NA,-0.0014940828526351,-0.000420513122522137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00425607483267469,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0021502119342635,-0.00197188772764695,-0.0127842162694738,-0.0157949350908669,NA,-0.000677336157677359,NA,NA,NA,NA,NA,-0.000145139503505484,NA,NA,NA,-0.000649756679955989,-0.00258026487806007,NA,NA,-0.00164119652894065,NA,0,-0.00371400707056683,NA,-0.00013885148323665,0,0,NA,NA,NA,NA,NA,-0.00143795582557712,-0.00209645861533389,1.43195399706844,NA,NA,-0.000822966292370869,NA,NA,NA,NA,NA,NA
"Sus_scrofa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00253835588949968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00022,NA,NA,NA,NA,NA,NA,NA,NA
"Sylvia_atricapilla",NA,NA,0.0326472842510663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0542869627262623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42242,NA,NA,NA,NA,NA,NA,NA
"Talpa_europaea",NA,0.000541575453891317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00162069073193187,NA,NA,NA,NA,NA,NA,NA,0.0114199251317068,0,0,NA,NA,NA,7.25845250232116e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00822966292370869,NA,NA,0.00269,NA,NA,NA,NA,NA,0.000176872239145874
"Tinca_tinca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,NA,NA,NA,NA,NA
"Troglodytes_troglodytes",NA,NA,0.0309097476327679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.370064870600949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41241,NA,NA,NA,0
"Undet._amphibians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.03121316474781e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00618232300281955,0,0.00122902364169352,NA,NA,NA,NA,NA,NA,0.0176778604118993,0.00538054007787326,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00263,NA,NA,NA
"Undet._bats",NA,NA,0.0206833333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38737,NA,NA
"Undet._birds",NA,0.0622965404570456,0.237710708412465,NA,0.0981193479716669,NA,NA,NA,NA,NA,0.00809452499635316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267270101036857,NA,NA,NA,NA,NA,0,0.0574556934892028,NA,NA,NA,NA,NA,NA,NA,0.00165652441563184,NA,0.00513813990637015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01834,0.00200117938932244
"Vulpes_vulpes",NA,NA,NA,NA,NA,NA,0,-0.000546134092373268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.679255714724825,NA,NA,NA,NA,NA,-0.000402396980835253,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,-5.83435560016359e-05,-0.00296622071515517,-0.0487415157231335,-0.0187699991446934,NA,NA,NA,NA,NA,NA,NA,-2.50042902846152e-05,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,-1.76606665213223e-05,NA,NA,NA,-3.40335819978038e-05,-0.000408402983973646,NA,NA,NA,-1.76872239145874e-05,NA,0,NA,NA,-0.000200117938932244,2.43535575460537
